Trace length, % Trace in CG, Trace_len/CG_size
8,0.125,0.162790698
9,0.111111111,0.380952381
102,0.019607843,1.01
18,0,0.097701149
4,0,0.75
35,0,0.283333333
6,0.166666667,0.333333333
9,0.111111111,0.266666667
83,0.096385542,0.29390681
23,0.043478261,0.293333333
22,0,0.552631579
30,0,3.625
89,0.02247191,0.571428571
10,0,0.409090909
51,0,0.416666667
9,0,0.347826087
11,0.090909091,0.344827586
9,0,0.347826087
23,0,0.123595506
7,0.285714286,0.6
22,0.136363636,0.184210526
24,0,0.247311828
32,0.09375,0.319587629
65,0,4.923076923
67,0,0.795180723
21,0.095238095,0.212765957
9,0,0.235294118
8,0,0.184210526
30,0.033333333,0.187096774
16,0.125,0.3
58,0.017241379,0.467213115
8,0.25,0.259259259
5,0.4,0.042553191
18,0.111111111,0.425
26,0,0.735294118
19,0,0.257142857
26,0.038461538,0.328947368
29,0,0.903225806
120,0.008333333,2.163636364
15,0.066666667,0.518518519
8,0,1.166666667
69,0.043478261,0.388571429
26,0.076923077,0.367647059
15,0,0.388888889
19,0.105263158,0.692307692
8,0,3.5
33,0,0.695652174
55,0,0.457627119
160,0.00625,2.092105263
13,0,0.413793103
9,0,0.615384615
71,0,1.228070175
74,0,1.697674419
47,0,0.630136986
53,0,1.04
19,0.052631579,0.260869565
10,0.1,0.290322581
17,0.235294118,0.121212121
89,0,0.721311475
25,0,0.705882353
21,0.047619048,0.215053763
20,0,2.375
78,0.012820513,0.733333333
48,0.020833333,0.158249158
19,0,0.219512195
130,0.007692308,1.791666667
38,0.026315789,0.143968872
95,0.031578947,0.537142857
5,0,0.108108108
5,0.2,0.030769231
13,0,0.19047619
26,0.076923077,0.252525253
17,0.058823529,0.134453782
25,0,8
31,0.032258065,0.416666667
15,0,0.875
88,0.022727273,0.612676056
32,0.0625,0.183431953
3,0.333333333,1
28,0,0.794117647
42,0.023809524,0.661290323
19,0.052631579,0.367346939
77,0.012987013,0.723809524
37,0,0.631578947
6,0.166666667,0.384615385
11,0.090909091,0.333333333
16,0,0.189873418
21,0,6.666666667
79,0.025316456,0.417112299
31,0,0.882352941
61,0.016393443,0.810810811
81,0.012345679,0.650406504
22,0,0.323076923
56,0.017857143,0.591397849
30,0.033333333,0.34939759
26,0,0.438596491
12,0,0.305555556
11,0,0.277777778
11,0,0.277777778
12,0,0.305555556
72,0.041666667,0.344660194
108,0,2.675
74,0,1.196721311
27,0.037037037,0.282608696
22,0,0.355932203
27,0,0.565217391
38,0,0.393617021
55,0,27
12,0,0.578947368
8,0.125,0.24137931
50,0,0.374045802
9,0.333333333,0.275862069
6,0.166666667,0.0390625
64,0,0.375
47,0,0.370967742
46,0,1.097560976
12,0.083333333,0.211538462
37,0,0.5625
122,0.024590164,0.605
108,0.009259259,1.725806452
118,0.008474576,0.391304348
20,0,0.558823529
123,0.008130081,1.50617284
15,0,2.8
9,0,0.258064516
50,0,0.368421053
48,0,0.474747475
10,0.1,0.28125
33,0.060606061,0.31372549
24,0.041666667,0.403508772
24,0.041666667,0.319444444
40,0.025,0.419354839
25,0,0.827586207
9,0,0.258064516
45,0,0.293333333
20,0,0.487179487
108,0.009259259,1.725806452
48,0,0.55952381
26,0,0.431034483
15,0,0.28
23,0.043478261,0.423076923
34,0.058823529,0.362637363
6,0.166666667,0.0390625
40,0.025,2.294117647
65,0,1.103448276
74,0,0.737373737
34,0.029411765,0.452054795
12,0,0.25
200,0.01,0.665551839
61,0.032786885,0.674157303
32,0.03125,0.462686567
67,0,0.175066313
52,0,0.662337662
7,0.285714286,0.545454545
89,0.02247191,1.23943662
34,0.088235294,0.532258065
112,0.008928571,0.932773109
84,0,0.477011494
29,0,0.117647059
39,0.051282051,0.436781609
46,0.043478261,0.169172932
23,0.043478261,3.142857143
21,0.095238095,0.243902439
53,0.018867925,0.409448819
54,0.018518519,0.417322835
54,0.018518519,0.417322835
56,0,0.964912281
17,0.117647059,0.516129032
8,0.125,0.212121212
18,0,0.25
98,0.010204082,1.644067797
22,0,0.2
19,0.105263158,0.253521127
27,0.074074074,0.320987654
15,0.333333333,0.181818182
24,0.083333333,0.298701299
24,0,1.769230769
20,0,0.166666667
45,0.066666667,0.173228346
25,0,8
91,0,0.365853659
29,0,0.875
11,0,0.555555556
62,0.016129032,0.462121212
17,0,0.390243902
15,0,0.466666667
54,0,17.66666667
5,0,0.666666667
3,0.333333333,1
60,0.066666667,0.222641509
34,0.058823529,0.237410072
17,0.117647059,0.258064516
6,0.166666667,0.208333333
6,0,0.454545455
13,0,0.545454545
26,0.038461538,0.367647059
8,0,0.4375
31,0,0.38961039
19,0.105263158,0.268656716
22,0,0.3
45,0.022222222,0.483516484
19,0.052631579,0.178217822
79,0.025316456,0.397959184
107,0.08411215,0.253588517
33,0.060606061,0.592592593
54,0.018518519,0.417322835
9,0.333333333,0.153846154
34,0.029411765,0.272727273
24,0.041666667,0.343283582
56,0,0.647058824
19,0,0.5625
61,0.016393443,0.194805195
88,0,0.47027027
21,0.047619048,0.169491525
37,0,0.356435644
70,0.014285714,0.294871795
25,0,0.263736264
59,0.016949153,0.878787879
19,0.105263158,0.352941176
29,0,0.378378378
6,0,0.454545455
22,0.227272727,0.355932203
20,0,0.180952381
11,0,0.526315789
16,0.125,0.144230769
40,0.025,0.458823529
191,0.005235602,1.623931624
27,0.074074074,0.273684211
25,0,0.533333333
21,0.142857143,0.175438596
23,0.086956522,0.178861789
92,0,0.368421053
29,0.068965517,0.518518519
31,0.129032258,0.178571429
37,0,0.367346939
33,0,0.542372881
34,0.029411765,0.47826087
61,0,20
88,0.045454545,0.406542056
23,0.086956522,3.142857143
67,0,0.804878049
8,0,0.175
54,0,0.441666667
116,0.017241379,0.93495935
90,0.055555556,0.649635036
33,0.060606061,0.237037037
8,0.25,0.25
32,0,0.262711864
32,0.03125,0.212328767
25,0,8
19,0.052631579,0.183673469
11,0.090909091,0.27027027
8,0.125,0.233333333
61,0,0.540540541
55,0,0.486486486
55,0,0.486486486
65,0,0.52892562
17,0,0.421052632
60,0,0.495798319
32,0,0.455882353
23,0,0.20754717
120,0.016666667,1.4875
21,0,0.170940171
45,0.022222222,0.265060241
6,0.333333333,0.714285714
33,0,10.66666667
15,0.066666667,0.388888889
4,0.25,0.428571429
23,0.043478261,0.55
26,0.038461538,0.367647059
48,0,0.643835616
45,0,0.35483871
24,0,0.469387755
17,0.058823529,0.2
18,0.111111111,0.202380952
21,0.047619048,6.666666667
19,0.052631579,0.285714286
70,0.014285714,0.294871795
22,0.045454545,0.24137931
178,0.016853933,0.534743202
21,0.095238095,0.273972603
26,0.076923077,0.367647059
53,0,0.179930796
53,0,0.179930796
41,0.024390244,0.227272727
14,0.071428571,0.270833333
13,0,4
5,0.2,0.210526316
54,0,0.495327103
32,0,0.596153846
5,0.4,0.043010753
85,0,0.341463415
48,0.020833333,0.47
77,0.077922078,0.223529412
85,0.011764706,0.68852459
85,0,0.341463415
111,0.036036036,0.531400966
138,0,7.611111111
57,0.070175439,0.191780822
39,0,0.447058824
59,0,0.828571429
24,0,0.575
18,0,0.5
13,0,0.461538462
9,0.111111111,0.266666667
67,0.014925373,0.212903226
51,0,0.212765957
11,0,0.416666667
25,0,0.315789474
96,0.010416667,1.532258065
38,0,0.411111111
18,0.111111111,0.142857143
19,0,0.3
98,0.010204082,1.46969697
31,0,0.280373832
45,0,1.419354839
34,0.029411765,0.12992126
8,0.125,0.269230769
16,0,0.25862069
4,0.25,0.12
8,0,0.116666667
21,0,6.666666667
72,0,7.888888889
45,0,0.214634146
67,0,0.795180723
25,0,0.436363636
37,0.027027027,0.253521127
23,0.043478261,0.647058824
84,0,1.456140351
1,0,0
18,0.055555556,0.346938776
9,0,0.126984127
15,0.066666667,0.059322034
50,0.02,0.556818182
5,0,0.571428571
151,0,2.307692308
127,0,1.938461538
83,0,0.229691877
88,0,0.243697479
80,0,0.221288515
80,0.0125,0.221288515
88,0,0.243697479
83,0,0.229691877
88,0,0.243697479
75,0.013333333,0.207282913
83,0,0.229691877
80,0,0.221288515
118,0.025423729,1.772727273
34,0.058823529,0.492537313
5,0.2,0.16
49,0,0.218181818
11,0.090909091,0.384615385
27,0.074074074,0.356164384
18,0.111111111,0.142857143
65,0.030769231,0.226950355
27,0,0.742857143
14,0,0.333333333
15,0.066666667,0.269230769
127,0.007874016,2.032258065
1,0,0
8,0.125,0.333333333
54,0.018518519,0.460869565
7,0.142857143,0.545454545
55,0.018181818,0.469565217
20,0,1.266666667
11,0.090909091,0.344827586
12,0.083333333,0.22
36,0.111111111,0.346534653
22,0,0.538461538
88,0,0.342519685
22,0.136363636,0.21
13,0.076923077,0.266666667
82,0,1.125
4,0.25,1
74,0,1.697674419
199,0.020100503,0.554621849
6,0,0.5
151,0.013245033,0.522648084
6,0.166666667,0.333333333
91,0,0.365853659
54,0,0.225531915
8,0.125,0.4375
28,0.035714286,0.529411765
52,0.019230769,0.309090909
6,0,0.555555556
21,0.095238095,0.392156863
33,0.060606061,0.432432432
133,0.007518797,1.736842105
5,0.2,0.363636364
23,0,0.814814815
31,0,0.123966942
25,0.04,0.489795918
8,0,0.4375
76,0,0.773195876
12,0,3.666666667
74,0,1.196721311
12,0,3.666666667
29,0.034482759,0.252252252
38,0,0.333333333
60,0.016666667,1.017241379
35,0.028571429,0.453333333
6,0.166666667,0.052083333
25,0.04,0.275862069
31,0,0.319148936
21,0,0.238095238
10,0.1,0.28125
21,0.047619048,0.212765957
26,0,1.041666667
24,0.208333333,0.182539683
13,0,0.255319149
136,0.022058824,0.399408284
10,0,0.236842105
11,0,0.555555556
17,0,0.296296296
11,0,0.212765957
34,0,0.379310345
27,0.037037037,0.419354839
25,0,0.363636364
191,0.005235602,1.623931624
49,0.040816327,0.527472527
5,0,0.111111111
60,0,0.210714286
152,0.019736842,0.915151515
46,0.043478261,0.459183673
6,0.166666667,0.052083333
17,0,0.571428571
25,0,0.923076923
16,0.25,0.197368421
22,0.045454545,0.291666667
77,0.025974026,0.251655629
121,0,6.666666667
63,0.015873016,0.308457711
35,0.028571429,0.492753623
38,0.078947368,0.31092437
197,0.010152284,0.655518395
15,0,0.229508197
55,0,0.225941423
8,0.5,0.051094891
26,0,0.328947368
56,0,4.230769231
15,0.2,0.14893617
124,0.016129032,1.128440367
29,0,0.474576271
34,0,0.891891892
36,0.166666667,0.231788079
33,0.090909091,0.280701754
29,0.034482759,0.237288136
45,0.022222222,0.333333333
15,0,0.823529412
