Trace length, % Trace in CG, Trace_len/CG_size
2,0.5,0.5
39,0.102564103,0.269503546
9,0.222222222,0.727272727
6,0.166666667,0.454545455
7,0.285714286,0.5
5,0,0.8
44,0.068181818,0.255952381
4,0,0.6
5,0.2,0.5
17,0.058823529,0.592592593
10,0,0.375
26,0.038461538,0.543478261
4,0,0.428571429
3,0.333333333,0.333333333
40,0.075,0.270833333
9,0.333333333,0.32
5,0,0.571428571
6,0.333333333,0.217391304
4,0,0.230769231
4,0,0.6
15,0,3.5
8,0.125,0.538461538
8,0.125,0.7
4,0,1
6,0,0.217391304
4,0.25,1.5
2,0.5,0.5
34,0.088235294,0.33
5,0.4,0.8
4,0,0.2
14,0,0.26
4,0,0.6
3,0,0.2
9,0.333333333,0.615384615
5,0.4,0.444444444
5,0.4,0.8
10,0.1,0.642857143
4,0.25,0.75
38,0.026315789,0.349056604
15,0,0.318181818
5,0.2,0.307692308
8,0.125,0.538461538
5,0,0.307692308
2,0.5,0.142857143
8,0.125,0.538461538
4,0.25,0.428571429
6,0,0.5
8,0.625,0.259259259
5,0,0.571428571
8,0,0.318181818
7,0,0.5
8,0,1
3,0,0.222222222
4,0.25,0.2
4,0.25,0.375
4,0,0.375
2,0,0.142857143
9,0.111111111,0.666666667
5,0.2,0.075471698
28,0.035714286,0.27
5,0.2,0.333333333
16,0.0625,0.882352941
4,0.25,1.5
16,0,0.340909091
8,0.25,0.7
4,0.5,0.6
3,0,0.166666667
4,0,0.5
33,0.121212121,0.290909091
7,0,0.75
9,0.444444444,0.275862069
46,0.108695652,0.269461078
20,0,0.345454545
6,0,0.5
7,0.285714286,0.461538462
8,0.125,0.538461538
34,0.088235294,0.33
4,0.25,0.230769231
2,0,0.083333333
22,0.045454545,0.6
22,0.090909091,0.411764706
13,0.153846154,0.203389831
8,0.375,0.538461538
10,0.1,0.219512195
9,0.111111111,0.242424242
7,0,0.181818182
5,0.2,0.090909091
7,0.285714286,0.125
33,0.121212121,0.290909091
4,0.25,0.5
9,0.333333333,0.32
8,0,0.5
23,0.043478261,0.47826087
7,0.285714286,1
7,0.285714286,1
2,0.5,0.333333333
4,0.5,0.428571429
22,0.136363636,0.488372093
2,0.5,0.25
7,0,0.428571429
4,0.25,0.375
15,0.2,0.777777778
6,0,0.263157895
5,0,0.307692308
6,0,0.090909091
4,0,1.5
5,0.2,0.4
5,0.4,0.2
6,0.166666667,0.357142857
5,0,1
4,0.25,0.6
27,0.037037037,0.26
4,0.25,0.272727273
8,0.125,0.212121212
27,0.037037037,0.282608696
8,0.375,0.291666667
57,0.333333333,0.444444444
10,0.2,1.125
40,0,19.5
7,0,1
6,0,1.25
10,0.2,0.272727273
4,0.25,0.75
6,0.166666667,0.625
5,0,0.333333333
4,0,0.5
3,0,0.166666667
6,0.166666667,0.217391304
4,0,0.6
5,0,0.571428571
4,0,0.375
14,0.071428571,0.175675676
9,0,0.205128205
9,0.444444444,0.615384615
13,0,0.25
6,0.166666667,0.714285714
34,0.088235294,0.33
2,0.5,0.142857143
4,0,0.375
4,0,0.088235294
9,0.444444444,0.615384615
11,0.454545455,0.769230769
4,0,1
4,0.25,0.2
4,0.25,0.272727273
36,0.111111111,0.35
7,0,0.5
7,0.142857143,0.75
2,0.5,0.142857143
8,0,0.205882353
10,0.2,0.818181818
2,0.5,0.25
31,0.064516129,0.285714286
4,0.25,0.5
6,0.333333333,0.277777778
3,0,0.05
20,0.05,0.358490566
2,0,0.1
4,0,0.428571429
17,0.058823529,0.533333333
2,0.5,0.166666667
10,0.1,0.818181818
36,0.138888889,0.360824742
6,0.5,1
6,0.5,0.833333333
22,0.136363636,0.291666667
29,0.068965517,0.35
2,0.5,0.066666667
14,0.071428571,0.185714286
7,0,0.12244898
17,0.058823529,0.64
5,0,0.666666667
5,0.2,0.8
16,0.1875,0.3
8,0,0.7
9,0,0.8
31,0.129032258,0.275229358
38,0.026315789,0.402173913
16,0,0.365853659
5,0.6,0.333333333
6,0,0.833333333
33,0.060606061,0.32
12,0,0.189655172
3,0,0.666666667
4,0.25,0.6
12,0,0.611111111
5,0,0.4
40,0.125,0.270833333
2,0.5,0.5
6,0.166666667,0.263157895
4,0,0.176470588
2,0.5,0.25
5,0.2,0.4
48,0.020833333,0.405172414
4,0,0.333333333
4,0.25,0.75
9,0.111111111,0.727272727
11,0.272727273,0.909090909
42,0.119047619,0.282758621
26,0.192307692,0.316455696
7,0,0.545454545
11,0.181818182,0.3125
30,0.133333333,0.266055046
18,0.111111111,0.68
6,0.166666667,0.833333333
5,0.2,0.266666667
6,0,0.555555556
8,0.25,0.7
2,0,0.090909091
4,0.25,0.375
4,0.25,0.6
54,0.055555556,0.602272727
10,0.1,0.642857143
7,0,0.193548387
10,0.3,0.28125
5,0.2,0.285714286
7,0.142857143,0.176470588
14,0.071428571,0.317073171
14,0,0.333333333
5,0.2,0.333333333
40,0.025,0.428571429
37,0.108108108,0.336448598
6,0.166666667,0.416666667
8,0.125,0.194444444
7,0.142857143,0.230769231
4,0,0.3
6,0.166666667,0.3125
35,0.142857143,0.34
6,0.333333333,0.416666667
5,0,0.307692308
57,0.333333333,0.444444444
9,0,4
6,0.166666667,0.227272727
6,0.166666667,0.263157895
5,0.2,0.571428571
6,0.5,1
6,0.166666667,0.3125
4,0,1.5
17,0.058823529,0.666666667
6,0.166666667,1
4,0,0.375
14,0.214285714,0.282608696
8,0.375,0.5
5,0,0.571428571
7,0.142857143,0.193548387
4,0,0.375
4,0.25,0.6
8,0,0.35
16,0.0625,0.6
4,0.25,0.75
9,0.333333333,0.727272727
13,0.153846154,0.222222222
5,0.2,0.5
3,0.666666667,0.05
5,0.2,0.666666667
5,0,0.5
35,0.085714286,0.34
5,0.2,0.8
4,0.25,0.230769231
4,0.25,0.214285714
8,0.25,0.28
6,0,1
9,0.333333333,0.615384615
14,0.071428571,0.26
10,0,2.25
10,0,2.25
10,0,2.25
57,0.333333333,0.444444444
4,0.25,0.6
5,0,2
34,0.147058824,0.33
17,0.058823529,0.615384615
5,0,0.307692308
4,0,0.272727273
8,0.25,0.145833333
8,0.25,0.145833333
9,0.333333333,0.727272727
5,0,0.4
4,0.75,0.375
5,0.2,0.8
4,0.25,0.428571429
7,0,0.461538462
6,0,0.263157895
3,0,0.181818182
4,0,0.428571429
10,0.2,0.272727273
16,0,0.384615385
4,0.25,0.5
38,0.105263158,0.256944444
7,0.142857143,0.6
16,0.1875,0.833333333
20,0,0.527777778
5,0,1
4,0.25,0.6
7,0.142857143,0.5
33,0.060606061,0.32
4,0.25,1.5
26,0.038461538,0.284090909
3,0.666666667,0.5
4,0.25,1.5
5,0,0.078431373
6,0,0.833333333
8,0,1
13,0.153846154,0.3
4,0,1
4,0.25,0.125
16,0,0.681818182
5,0.2,0.666666667
7,0,2
43,0.11627907,0.289655172
4,0,0.6
10,0.2,0.818181818
13,0.076923077,0.387096774
3,0.333333333,0.285714286
6,0.166666667,0.454545455
4,0.25,0.142857143
5,0.2,0.4
15,0,0.341463415
27,0.037037037,0.26
12,0.166666667,0.916666667
8,0.125,0.538461538
12,0.25,0.407407407
4,0.25,0.2
22,0.090909091,0.6
5,0.2,0.266666667
4,0,1
20,0.05,0.431818182
34,0.117647059,0.33
4,0,0.375
5,0,0.266666667
4,0,1
5,0.4,0.8
8,0,2.333333333
7,0.142857143,0.75
15,0.066666667,0.7
21,0.047619048,0.434782609
5,0,0.285714286
3,0,0.125
4,0.25,0.6
57,0.333333333,0.444444444
2,0,0.083333333
4,0,1
6,0.5,1
5,0,0.571428571
3,0,0.333333333
3,0.333333333,0.285714286
23,0.086956522,0.916666667
6,0.166666667,0.384615385
5,0,0.363636364
8,0.25,0.538461538
4,0.25,0.142857143
6,0.333333333,0.238095238
4,0.75,0.230769231
27,0.037037037,0.268041237
17,0.058823529,0.615384615
14,0,6.5
19,0.052631579,0.36
39,0.102564103,0.263888889
5,0,0.266666667
7,0,0.1875
6,0,1
5,0.2,0.5
17,0.117647059,0.242424242
38,0.105263158,0.262411348
4,0.25,0.75
12,0.083333333,0.423076923
12,0,2.75
5,0,0.571428571
7,0,0.75
2,0.5,0.25
7,0.142857143,0.352941176
2,0.5,0.25
26,0.192307692,0.308641975
16,0.1875,0.833333333
3,0.333333333,0.285714286
3,0,0.153846154
6,0.166666667,0.238095238
7,0,0.666666667
59,0.305084746,0.46031746
9,0,1
4,0,0.214285714
7,0,0.75
6,0.166666667,0.333333333
7,0.142857143,1
4,0.25,0.5
4,0.25,0.3
8,0,0.583333333
12,0.166666667,0.275
10,0.4,0.692307692
16,0,0.517241379
4,0.25,0.428571429
49,0.102040816,0.290909091
51,0.098039216,0.301204819
4,0.25,0.5
4,0.25,0.375
9,0.111111111,0.266666667
11,0,1
44,0.136363636,0.43
8,0.125,0.333333333
9,0,0.666666667
6,0.166666667,0.217391304
10,0.1,0.28125
8,0.125,0.583333333
16,0,0.576923077
8,0.25,0.636363636
9,0.222222222,0.296296296
1,0,0
15,0,7
12,0.166666667,0.289473684
38,0.105263158,0.256944444
20,0.05,0.365384615
8,0,0.388888889
10,0.1,0.529411765
6,0.333333333,1
2,0.5,0.142857143
2,0.5,0.166666667
6,0.166666667,0.294117647
4,0.25,1.5
4,0.25,0.1875
8,0.125,0.212121212
7,0.285714286,1
14,0.071428571,0.196969697
83,0,7.454545455
9,0.222222222,0.8
5,0.2,0.333333333
62,0.080645161,0.308080808
67,0.074626866,0.336734694
7,0.285714286,0.181818182
63,0.063492063,0.313131313
68,0.073529412,0.341836735
71,0.070422535,0.355329949
22,0,0.381818182
4,0,0.428571429
2,0.5,0.25
4,0,1
8,0.125,0.28
4,0.25,1.5
9,0.333333333,0.32
13,0.076923077,0.155844156
